time;type;message
1633647807.841164;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.238s)
1633647808.086545;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.245s)
1633647808.333975;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.247s)
1633647808.577287;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.243s)
1633647808.820096;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.243s)
1633647809.0346298;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.215s)
1633647809.258614;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.224s)
1633647809.4840882;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647809.708879;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647809.92793;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.219s)
1633647809.9468002;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647810.1446872;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647810.162576;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647810.367481;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.223s)
1633647810.385397;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647810.584107;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647810.601551;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647810.8089259;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647810.8262389;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647811.028121;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.219s)
1633647811.0456982;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647811.253249;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647811.2697651;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647811.5613701;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.308s)
1633647811.577488;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647811.778309;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647811.7948742;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647811.9903538;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.212s)
1633647812.007927;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647812.208562;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.218s)
1633647812.2257888;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647812.428312;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.220s)
1633647812.4461272;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647812.644709;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.216s)
1633647812.663023;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647812.867409;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.223s)
1633647813.09483;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.227s)
1633647813.320966;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.226s)
1633647813.5447161;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.224s)
1633647813.7875588;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.243s)
1633647814.0089622;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.221s)
1633647814.227972;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.219s)
1633647814.453876;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.226s)
1633647814.670912;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647814.895007;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.224s)
1633647815.110999;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.216s)
1633647815.336846;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.226s)
1633647815.56193;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647815.792851;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.231s)
1633647816.011393;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.219s)
1633647816.253272;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647816.4947789;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647816.736704;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647816.977421;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.241s)
1633647817.22534;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.248s)
1633647817.4615219;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.236s)
1633647817.7090712;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.248s)
1633647817.950762;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647818.28048;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.330s)
1633647818.533819;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.253s)
1633647818.7840278;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.250s)
1633647819.044204;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.260s)
1633647819.2968352;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.253s)
1633647819.5611598;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.264s)
1633647819.8111029;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.250s)
1633647820.0710888;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.260s)
1633647820.327466;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.256s)
1633647820.58659;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.259s)
1633647820.8399758;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.253s)
1633647821.0942562;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.254s)
1633647821.344619;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.250s)
1633647821.603297;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.259s)
1633647821.853417;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.250s)
1633647822.1211;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.268s)
1633647822.386719;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.266s)
